epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,3252.35,1.12493,0.85526,0.98301,0.88785,0.84658,0.90079,0.54573,1.39316,1.02929,1.10536,0.000402982,0.000402982,0.000402982
24,3402.06,1.14108,0.86166,0.99718,0.89476,0.88132,0.902,0.53398,1.40619,1.05891,1.09897,0.000388844,0.000388844,0.000388844
25,3548.95,1.13122,0.85974,0.98046,0.92588,0.87981,0.90165,0.5343,1.38331,1.04084,1.09368,0.000374707,0.000374707,0.000374707
26,3696.87,1.13368,0.83335,0.98236,0.9196,0.88418,0.91452,0.54669,1.37464,0.98366,1.09269,0.00036057,0.00036057,0.00036057
27,3844.16,1.10829,0.82263,0.96938,0.92142,0.84743,0.89908,0.5337,1.37762,1.02275,1.09806,0.000346433,0.000346433,0.000346433
28,3996.34,1.08283,0.78993,0.96074,0.92669,0.85581,0.88424,0.54374,1.36074,0.98715,1.09327,0.000332296,0.000332296,0.000332296
29,4144,1.0653,0.7895,0.96459,0.94005,0.8191,0.90482,0.54106,1.39127,1.01457,1.09837,0.000318158,0.000318158,0.000318158
30,4287.29,1.03697,0.78096,0.97369,0.93087,0.84228,0.88639,0.53307,1.36611,1.03139,1.10374,0.000304021,0.000304021,0.000304021
31,4434.19,1.05684,0.76333,0.97025,0.94177,0.85688,0.92453,0.53941,1.44073,0.97125,1.11602,0.000289884,0.000289884,0.000289884
32,4586.14,1.06784,0.77483,0.96123,0.93187,0.86296,0.91916,0.55316,1.36346,0.94793,1.09372,0.000275747,0.000275747,0.000275747
33,4728.53,1.06001,0.74716,0.94744,0.9376,0.86727,0.90958,0.52579,1.42335,1.00737,1.11318,0.00026161,0.00026161,0.00026161
34,4859.28,1.07036,0.76437,0.95698,0.91971,0.87274,0.90602,0.54874,1.34584,0.96132,1.08506,0.000247472,0.000247472,0.000247472
35,4992.15,1.04293,0.73974,0.95871,0.93793,0.89193,0.93521,0.55307,1.40817,0.98071,1.1131,0.000233335,0.000233335,0.000233335
36,5122.33,1.01815,0.71738,0.95371,0.91801,0.88163,0.91138,0.56152,1.36653,0.93944,1.10155,0.000219198,0.000219198,0.000219198
37,5254.14,1.01934,0.72329,0.95928,0.92907,0.88565,0.92239,0.55127,1.3748,0.90392,1.09966,0.000205061,0.000205061,0.000205061
38,5384.16,1.00615,0.72004,0.94031,0.93554,0.90586,0.92392,0.55893,1.38793,0.92687,1.10242,0.000190924,0.000190924,0.000190924
39,5519.04,1.01535,0.71381,0.94705,0.92097,0.90398,0.9271,0.56486,1.37595,0.90822,1.09825,0.000176786,0.000176786,0.000176786
40,5661.53,1.00957,0.71224,0.9508,0.93853,0.8964,0.92233,0.56233,1.36696,0.9064,1.09713,0.000162649,0.000162649,0.000162649
41,5804.64,0.96389,0.75956,0.94076,0.89979,0.89863,0.9122,0.54951,1.38354,0.93905,1.105,0.000148512,0.000148512,0.000148512
